dataset,mode,operation,joblib-pandas,pandas
large,filtered,complex,0.014731763500037687,0.007235155000046234
large,filtered,count,0.012916402499968171,0.004176997999991272
large,filtered,count_index,0.013651084000059654,0.004067766499986192
large,filtered,groupby,0.014699189999930695,0.005990067999960047
large,filtered,join,0.014981133499986754,0.007459741499928896
large,filtered,join_count,0.013937754000039604,0.007299054499981139
large,filtered,mean,0.013257394999982353,0.004290300500031208
large,filtered,mean_complex,0.014941114999999172,0.0056295459999660125
large,filtered,mean_product,0.013171063000015693,0.004359632000046076
large,filtered,mean_sum,0.01343595900004857,0.00409140149997711
large,filtered,product_columns,0.013401433000069574,0.004558690999999726
large,filtered,std,0.013949264000018502,0.007518788000027143
large,filtered,sum_columns,0.013530898999988494,0.004208392000009553
large,filtered,value_counts,0.013549448499986738,0.005941398000004483
large,filtered_cached,complex,0.0015813284999808275,0.0018724079999969945
large,filtered_cached,count,8.026499983770918e-06,1.0715500025071378e-05
large,filtered_cached,count_index,7.886499986398121e-06,1.0836000001290813e-05
large,filtered_cached,groupby,0.0022424785000794145,0.0016652675000159434
large,filtered_cached,join,0.0008907489999501195,0.0010057140000299114
large,filtered_cached,join_count,0.0009095370000409275,0.001052012499940247
large,filtered_cached,mean,0.0001869405000434199,0.0001503720000073372
large,filtered_cached,mean_complex,0.0016496590000087963,0.0017222314999685295
large,filtered_cached,mean_product,0.0002579509999804941,0.00031781450002199563
large,filtered_cached,mean_sum,0.0003318345000593581,0.0002779250000344291
large,filtered_cached,product_columns,0.0002094639999654646,0.0002113919999828795
large,filtered_cached,std,0.00019255450001764984,0.00022293849997367943
large,filtered_cached,sum_columns,0.00019480750000866465,0.00017948949999890829
large,filtered_cached,value_counts,0.0007216295000489481,0.0006262594999952853
large,standard,complex,0.015032158999986223,0.0061745644999859906
large,standard,count,0.01268531650003979,0.017711555000062162
large,standard,count_index,0.012806498000031752,0.003741585499994926
large,standard,groupby,0.015017049499988389,0.008694598500028405
large,standard,join,0.013357337499996902,0.004329342999938035
large,standard,join_count,0.019047170500073207,0.01227499850000413
large,standard,mean,0.012702294000007441,0.00676077999997915
large,standard,mean_complex,0.015357732000040869,0.0055267800000251555
large,standard,mean_product,0.012605157999985295,0.005493655500004024
large,standard,mean_sum,0.012974272999997538,0.008546835499998906
large,standard,product_columns,0.013397247000000334,0.016363450999904217
large,standard,read_collect,0.01265820150001673,0.007139964500026963
large,standard,std,0.012668188499958433,0.012449570999990556
large,standard,sum_columns,0.012815964499964139,0.011506231999987904
large,standard,value_counts,0.014054195999960939,0.007484052499989957
medium,filtered,complex,0.016004871500001627,0.0047517959999936465
medium,filtered,count,0.014137731499999973,0.0033673034999992524
medium,filtered,count_index,0.014103669500059368,0.003608058499935396
medium,filtered,groupby,0.01443997550001086,0.0047854259999553506
medium,filtered,join,0.014802717999941706,0.0047063794999644415
medium,filtered,join_count,0.014461249000021326,0.003864456999963295
medium,filtered,mean,0.013562530499996228,0.004414788499957467
medium,filtered,mean_complex,0.015045268499989106,0.004678216999991491
medium,filtered,mean_product,0.013380547499991735,0.006209864999959791
medium,filtered,mean_sum,0.033899792499937575,0.004307873500010828
medium,filtered,product_columns,0.013425105499948131,0.004139051499976176
medium,filtered,std,0.013729627500026709,0.0035823409999693467
medium,filtered,sum_columns,0.015314520499941864,0.003465002499979164
medium,filtered,value_counts,0.013523042500025895,0.0035499679999588807
medium,filtered_cached,complex,0.0015779230000134703,0.0012569945000109328
medium,filtered_cached,count,9.614500015686644e-06,8.111999989068863e-06
medium,filtered_cached,count_index,1.0995500019816973e-05,1.1371500022505643e-05
medium,filtered_cached,groupby,0.0014749515000289648,0.0017903910000427459
medium,filtered_cached,join,0.000985468999999739,0.00148082449999265
medium,filtered_cached,join_count,0.0009723195000219675,0.00112972150003543
medium,filtered_cached,mean,0.00023279350006077948,0.0001914574999659635
medium,filtered_cached,mean_complex,0.0014226594999513509,0.0012407810000354402
medium,filtered_cached,mean_product,0.0004049430000350185,0.00027597749993901743
medium,filtered_cached,mean_sum,0.0002361179999752494,0.00039673550003271885
medium,filtered_cached,product_columns,0.0002062545000285354,0.00021731099997168712
