dataset,mode,operation,backend,median_seconds,min_seconds,max_seconds,repeats
large,filtered,complex,joblib-pandas,0.014731763500037687,0.014311080000084075,0.015152446999991298,2
large,filtered,complex,pandas,0.007235155000046234,0.005604229000027772,0.008866081000064696,2
large,filtered,count,joblib-pandas,0.012916402499968171,0.012899061999974037,0.012933742999962305,2
large,filtered,count,pandas,0.004176997999991272,0.003967353999996703,0.004386641999985841,2
large,filtered,count_index,joblib-pandas,0.013651084000059654,0.01341760700006489,0.013884561000054418,2
large,filtered,count_index,pandas,0.004067766499986192,0.003961935000006633,0.00417359799996575,2
large,filtered,groupby,joblib-pandas,0.014699189999930695,0.014364253999929133,0.015034125999932257,2
large,filtered,groupby,pandas,0.005990067999960047,0.005716884999969807,0.006263250999950287,2
large,filtered,join,joblib-pandas,0.014981133499986754,0.014025283000023592,0.015936983999949916,2
large,filtered,join,pandas,0.007459741499928896,0.005199421999918741,0.00972006099993905,2
large,filtered,join_count,joblib-pandas,0.013937754000039604,0.0138786520000167,0.013996856000062508,2
large,filtered,join_count,pandas,0.007299054499981139,0.004579126999942673,0.010018982000019605,2
large,filtered,mean,joblib-pandas,0.013257394999982353,0.013236939999956121,0.013277850000008584,2
large,filtered,mean,pandas,0.004290300500031208,0.0038211990000718288,0.004759401999990587,2
large,filtered,mean_complex,joblib-pandas,0.014941114999999172,0.014746126999966691,0.015136103000031653,2
large,filtered,mean_complex,pandas,0.0056295459999660125,0.005626100999961636,0.005632990999970389,2
large,filtered,mean_product,joblib-pandas,0.013171063000015693,0.013001497999994172,0.013340628000037213,2
large,filtered,mean_product,pandas,0.004359632000046076,0.004324620000033974,0.004394644000058179,2
large,filtered,mean_sum,joblib-pandas,0.01343595900004857,0.013294355000084579,0.01357756300001256,2
large,filtered,mean_sum,pandas,0.00409140149997711,0.003806046000022434,0.004376756999931786,2
large,filtered,product_columns,joblib-pandas,0.013401433000069574,0.013359246000050007,0.01344362000008914,2
large,filtered,product_columns,pandas,0.004558690999999726,0.004513029000008828,0.004604352999990624,2
large,filtered,std,joblib-pandas,0.013949264000018502,0.013757904000044618,0.014140623999992386,2
large,filtered,std,pandas,0.007518788000027143,0.004195319000018571,0.010842257000035715,2
large,filtered,sum_columns,joblib-pandas,0.013530898999988494,0.013460019000035572,0.013601778999941416,2
large,filtered,sum_columns,pandas,0.004208392000009553,0.004042044000016176,0.00437474000000293,2
large,filtered,value_counts,joblib-pandas,0.013549448499986738,0.013329385999895749,0.013769511000077728,2
large,filtered,value_counts,pandas,0.005941398000004483,0.004920583999933115,0.006962212000075851,2
large,filtered_cached,complex,joblib-pandas,0.0015813284999808275,0.0014646910000237767,0.0016979659999378782,2
large,filtered_cached,complex,pandas,0.0018724079999969945,0.0017683999999462685,0.0019764160000477204,2
large,filtered_cached,count,joblib-pandas,8.026499983770918e-06,7.540999945376825e-06,8.512000022165012e-06,2
large,filtered_cached,count,pandas,1.0715500025071378e-05,8.973000035439327e-06,1.245800001470343e-05,2
large,filtered_cached,count_index,joblib-pandas,7.886499986398121e-06,7.811000045876426e-06,7.961999926919816e-06,2
large,filtered_cached,count_index,pandas,1.0836000001290813e-05,9.503999990556622e-06,1.2168000012025004e-05,2
large,filtered_cached,groupby,joblib-pandas,0.0022424785000794145,0.0015666610000835135,0.0029182960000753155,2
large,filtered_cached,groupby,pandas,0.0016652675000159434,0.0016241069999978208,0.001706428000034066,2
large,filtered_cached,join,joblib-pandas,0.0008907489999501195,0.0008208909999893876,0.0009606069999108513,2
large,filtered_cached,join,pandas,0.0010057140000299114,0.0009058470000127272,0.0011055810000470956,2
large,filtered_cached,join_count,joblib-pandas,0.0009095370000409275,0.0008021140000664673,0.0010169600000153878,2
large,filtered_cached,join_count,pandas,0.001052012499940247,0.000970011999925191,0.0011340129999553028,2
large,filtered_cached,mean,joblib-pandas,0.0001869405000434199,0.00017297500005497568,0.0002009060000318641,2
