backend,mode,operation,dataset,input_rows,repeat,status,seconds,reason,warnings,validated,source_file
dask,standard,sum_columns,large,200000,0.0,ok,0.029603303000044434,,[],True,large-dask.json
dask,standard,sum_columns,large,200000,1.0,ok,0.024373512000011033,,[],True,large-dask.json
dask,standard,sum_columns,large,200000,2.0,ok,0.02807538799993381,,[],True,large-dask.json
dask,standard,product_columns,large,200000,0.0,ok,0.024657301000047482,,[],True,large-dask.json
dask,standard,product_columns,large,200000,1.0,ok,0.026684994999982337,,[],True,large-dask.json
dask,standard,product_columns,large,200000,2.0,ok,0.024735006000014437,,[],True,large-dask.json
dask,standard,std,large,200000,0.0,ok,0.0242679059999773,,[],True,large-dask.json
dask,standard,std,large,200000,1.0,ok,0.02444663100004618,,[],True,large-dask.json
dask,standard,std,large,200000,2.0,ok,0.03198683199991592,,[],True,large-dask.json
dask,standard,mean_sum,large,200000,0.0,ok,0.028108084999985294,,[],True,large-dask.json
dask,standard,mean_sum,large,200000,1.0,ok,0.028073034000044572,,[],True,large-dask.json
dask,standard,mean_sum,large,200000,2.0,ok,0.026710112000046138,,[],True,large-dask.json
dask,standard,join_count,large,200000,0.0,ok,0.027962970999965364,,[],True,large-dask.json
dask,standard,join_count,large,200000,1.0,ok,0.02983248199996069,,[],True,large-dask.json
dask,standard,join_count,large,200000,2.0,ok,0.026526140999976633,,[],True,large-dask.json
dask,standard,value_counts,large,200000,0.0,ok,0.03809938599999896,,[],True,large-dask.json
dask,standard,value_counts,large,200000,1.0,ok,0.03789583599996149,,[],True,large-dask.json
dask,standard,value_counts,large,200000,2.0,ok,0.0389120660000799,,[],True,large-dask.json
dask,standard,complex,large,200000,,skipped,,source lacks coordinates,,,large-dask.json
dask,standard,mean_product,large,200000,0.0,ok,0.028270441000017854,,[],True,large-dask.json
dask,standard,mean_product,large,200000,1.0,ok,0.027744103000031828,,[],True,large-dask.json
dask,standard,mean_product,large,200000,2.0,ok,0.02907847899996341,,[],True,large-dask.json
dask,standard,read_collect,large,200000,0.0,ok,0.04870241799994801,,[],True,large-dask.json
dask,standard,read_collect,large,200000,1.0,ok,0.045215020999989974,,[],True,large-dask.json
dask,standard,read_collect,large,200000,2.0,ok,0.05104568800004472,,[],True,large-dask.json
dask,standard,count,large,200000,0.0,ok,0.005728216999955293,,[],True,large-dask.json
dask,standard,count,large,200000,1.0,ok,0.005216481000047679,,[],True,large-dask.json
dask,standard,count,large,200000,2.0,ok,0.005861544000026697,,[],True,large-dask.json
dask,standard,groupby,large,200000,0.0,ok,0.05213420600000518,,[],True,large-dask.json
dask,standard,groupby,large,200000,1.0,ok,0.049452525999981845,,[],True,large-dask.json
dask,standard,groupby,large,200000,2.0,ok,0.05147643500004051,,[],True,large-dask.json
dask,standard,join,large,200000,0.0,ok,0.03895978700006708,,[],True,large-dask.json
dask,standard,join,large,200000,1.0,ok,0.046570661999908225,,[],True,large-dask.json
dask,standard,join,large,200000,2.0,ok,0.042002036999974734,,[],True,large-dask.json
dask,standard,mean,large,200000,0.0,ok,0.026929314999961207,,[],True,large-dask.json
dask,standard,mean,large,200000,1.0,ok,0.027671685999962392,,[],True,large-dask.json
dask,standard,mean,large,200000,2.0,ok,0.02660031400000662,,[],True,large-dask.json
dask,standard,mean_complex,large,200000,,skipped,,source lacks coordinates,,,large-dask.json
dask,standard,read_construct,large,200000,0.0,ok,0.01052433999996083,,[],False,large-dask.json
dask,standard,read_construct,large,200000,1.0,ok,0.004237267000007705,,[],False,large-dask.json
dask,standard,read_construct,large,200000,2.0,ok,0.004430812999999034,,[],False,large-dask.json
dask,standard,count_index,large,200000,0.0,ok,0.01872047400001975,,[],True,large-dask.json
dask,standard,count_index,large,200000,1.0,ok,0.018508330000031492,,[],True,large-dask.json
dask,standard,count_index,large,200000,2.0,ok,0.024021010999945247,,[],True,large-dask.json
dask,filtered,value_counts,large,200000,0.0,ok,0.04149294000001191,,[],True,large-dask.json
dask,filtered,value_counts,large,200000,1.0,ok,0.04950288400004865,,[],True,large-dask.json
dask,filtered,value_counts,large,200000,2.0,ok,0.049628761000008126,,[],True,large-dask.json
dask,filtered,join_count,large,200000,0.0,ok,0.03772616900005232,,[],True,large-dask.json
dask,filtered,join_count,large,200000,1.0,ok,0.04313665799998034,,[],True,large-dask.json
dask,filtered,join_count,large,200000,2.0,ok,0.0401543349998974,,[],True,large-dask.json
dask,filtered,product_columns,large,200000,0.0,ok,0.03131461600003149,,[],True,large-dask.json
dask,filtered,product_columns,large,200000,1.0,ok,0.029677723999952832,,[],True,large-dask.json
dask,filtered,product_columns,large,200000,2.0,ok,0.027575339999998505,,[],True,large-dask.json
dask,filtered,mean_product,large,200000,0.0,ok,0.031083270000067387,,[],True,large-dask.json
dask,filtered,mean_product,large,200000,1.0,ok,0.0317484309999827,,[],True,large-dask.json
dask,filtered,mean_product,large,200000,2.0,ok,0.030960397999933775,,[],True,large-dask.json
dask,filtered,join,large,200000,0.0,ok,0.05223700599992753,,[],True,large-dask.json
dask,filtered,join,large,200000,1.0,ok,0.05240620199992918,,[],True,large-dask.json
dask,filtered,join,large,200000,2.0,ok,0.053772387999970306,,[],True,large-dask.json
dask,filtered,groupby,large,200000,0.0,ok,0.053221970999970836,,[],True,large-dask.json
dask,filtered,groupby,large,200000,1.0,ok,0.05582725900001151,,[],True,large-dask.json
dask,filtered,groupby,large,200000,2.0,ok,0.06588885599990135,,[],True,large-dask.json
dask,filtered,sum_columns,large,200000,0.0,ok,0.030517058999976143,,[],True,large-dask.json
dask,filtered,sum_columns,large,200000,1.0,ok,0.03338988599989534,,[],True,large-dask.json
dask,filtered,sum_columns,large,200000,2.0,ok,0.033771864999948775,,[],True,large-dask.json
dask,filtered,mean,large,200000,0.0,ok,0.03255711600002087,,[],True,large-dask.json
dask,filtered,mean,large,200000,1.0,ok,0.041152929000077165,,[],True,large-dask.json
dask,filtered,mean,large,200000,2.0,ok,0.031754965999994056,,[],True,large-dask.json
dask,filtered,mean_complex,large,200000,,skipped,,source lacks coordinates,,,large-dask.json
dask,filtered,std,large,200000,0.0,ok,0.028496939999968163,,[],True,large-dask.json
dask,filtered,std,large,200000,1.0,ok,0.029500222000024223,,[],True,large-dask.json
dask,filtered,std,large,200000,2.0,ok,0.035434875000078137,,[],True,large-dask.json
dask,filtered,mean_sum,large,200000,0.0,ok,0.03170048099991618,,[],True,large-dask.json
dask,filtered,mean_sum,large,200000,1.0,ok,0.03319240500002252,,[],True,large-dask.json
dask,filtered,mean_sum,large,200000,2.0,ok,0.03475282599993079,,[],True,large-dask.json
dask,filtered,count,large,200000,0.0,ok,0.03720759899999848,,[],True,large-dask.json
dask,filtered,count,large,200000,1.0,ok,0.032663963000004514,,[],True,large-dask.json
dask,filtered,count,large,200000,2.0,ok,0.03194960899998023,,[],True,large-dask.json
dask,filtered,count_index,large,200000,0.0,ok,0.030408438999984355,,[],True,large-dask.json
dask,filtered,count_index,large,200000,1.0,ok,0.030940299000008054,,[],True,large-dask.json
dask,filtered,count_index,large,200000,2.0,ok,0.029714508999973077,,[],True,large-dask.json
dask,filtered,complex,large,200000,,skipped,,source lacks coordinates,,,large-dask.json
dask,filtered_cached,value_counts,large,200000,0.0,ok,0.04416504900007112,,[],True,large-dask.json
dask,filtered_cached,value_counts,large,200000,1.0,ok,0.0419356779999589,,[],True,large-dask.json
dask,filtered_cached,value_counts,large,200000,2.0,ok,0.042935383999974874,,[],True,large-dask.json
dask,filtered_cached,join_count,large,200000,0.0,ok,0.02148944400005348,,[],True,large-dask.json
dask,filtered_cached,join_count,large,200000,1.0,ok,0.018301963999988402,,[],True,large-dask.json
dask,filtered_cached,join_count,large,200000,2.0,ok,0.01622280000003684,,[],True,large-dask.json
dask,filtered_cached,product_columns,large,200000,0.0,ok,0.00920182200002273,,[],True,large-dask.json
dask,filtered_cached,product_columns,large,200000,1.0,ok,0.010123774000021513,,[],True,large-dask.json
dask,filtered_cached,product_columns,large,200000,2.0,ok,0.009313486999985798,,[],True,large-dask.json
dask,filtered_cached,mean_product,large,200000,0.0,ok,0.013385567000000265,,[],True,large-dask.json
dask,filtered_cached,mean_product,large,200000,1.0,ok,0.013011796000000686,,[],True,large-dask.json
dask,filtered_cached,mean_product,large,200000,2.0,ok,0.016510000000039327,,[],True,large-dask.json
dask,filtered_cached,join,large,200000,0.0,ok,0.013958083000034094,,[],True,large-dask.json
dask,filtered_cached,join,large,200000,1.0,ok,0.015254115999937312,,[],True,large-dask.json
dask,filtered_cached,join,large,200000,2.0,ok,0.014790756000024885,,[],True,large-dask.json
dask,filtered_cached,groupby,large,200000,0.0,ok,0.03505850800002008,,[],True,large-dask.json
dask,filtered_cached,groupby,large,200000,1.0,ok,0.033100877000038054,,[],True,large-dask.json
dask,filtered_cached,groupby,large,200000,2.0,ok,0.034521815000061906,,[],True,large-dask.json
dask,filtered_cached,sum_columns,large,200000,0.0,ok,0.00896126700001787,,[],True,large-dask.json
dask,filtered_cached,sum_columns,large,200000,1.0,ok,0.009126221000087753,,[],True,large-dask.json
dask,filtered_cached,sum_columns,large,200000,2.0,ok,0.008986945999936324,,[],True,large-dask.json
dask,filtered_cached,mean,large,200000,0.0,ok,0.005951115000016216,,[],True,large-dask.json
dask,filtered_cached,mean,large,200000,1.0,ok,0.005640596000034748,,[],True,large-dask.json
dask,filtered_cached,mean,large,200000,2.0,ok,0.006994863999921108,,[],True,large-dask.json
dask,filtered_cached,mean_complex,large,200000,,skipped,,source lacks coordinates,,,large-dask.json
dask,filtered_cached,std,large,200000,0.0,ok,0.00572526000007656,,[],True,large-dask.json
dask,filtered_cached,std,large,200000,1.0,ok,0.006170527999984188,,[],True,large-dask.json
dask,filtered_cached,std,large,200000,2.0,ok,0.006781392999982927,,[],True,large-dask.json
dask,filtered_cached,mean_sum,large,200000,0.0,ok,0.011268158999996558,,[],True,large-dask.json
dask,filtered_cached,mean_sum,large,200000,1.0,ok,0.012787201999913123,,[],True,large-dask.json
dask,filtered_cached,mean_sum,large,200000,2.0,ok,0.014724342000022261,,[],True,large-dask.json
dask,filtered_cached,count,large,200000,0.0,ok,0.0034511359999669367,,[],True,large-dask.json
dask,filtered_cached,count,large,200000,1.0,ok,0.003204411999945478,,[],True,large-dask.json
dask,filtered_cached,count,large,200000,2.0,ok,0.003109492000021419,,[],True,large-dask.json
dask,filtered_cached,count_index,large,200000,0.0,ok,0.0030918960000008155,,[],True,large-dask.json
dask,filtered_cached,count_index,large,200000,1.0,ok,0.0033006140000679807,,[],True,large-dask.json
dask,filtered_cached,count_index,large,200000,2.0,ok,0.004411769000057575,,[],True,large-dask.json
dask,filtered_cached,complex,large,200000,,skipped,,source lacks coordinates,,,large-dask.json
joblib-pandas,standard,sum_columns,large,200000,0.0,ok,0.03818494600000122,,[],True,large-joblib-pandas.json
joblib-pandas,standard,sum_columns,large,200000,1.0,ok,0.024423851999927138,,[],True,large-joblib-pandas.json
joblib-pandas,standard,sum_columns,large,200000,2.0,ok,0.025104571000042597,,[],True,large-joblib-pandas.json
joblib-pandas,standard,product_columns,large,200000,0.0,ok,0.024926808000031997,,[],True,large-joblib-pandas.json
joblib-pandas,standard,product_columns,large,200000,1.0,ok,0.02648767699997734,,[],True,large-joblib-pandas.json
joblib-pandas,standard,product_columns,large,200000,2.0,ok,0.026773603000037838,,[],True,large-joblib-pandas.json
joblib-pandas,standard,std,large,200000,0.0,ok,0.02517729800001689,,[],True,large-joblib-pandas.json
joblib-pandas,standard,std,large,200000,1.0,ok,0.025443326000072375,,[],True,large-joblib-pandas.json
joblib-pandas,standard,std,large,200000,2.0,ok,0.047316664999925706,,[],True,large-joblib-pandas.json
joblib-pandas,standard,mean_sum,large,200000,0.0,ok,0.02524625000000924,,[],True,large-joblib-pandas.json
joblib-pandas,standard,mean_sum,large,200000,1.0,ok,0.024772901999995156,,[],True,large-joblib-pandas.json
joblib-pandas,standard,mean_sum,large,200000,2.0,ok,0.027156168000033176,,[],True,large-joblib-pandas.json
joblib-pandas,standard,join_count,large,200000,0.0,ok,0.026401063999969665,,[],True,large-joblib-pandas.json
joblib-pandas,standard,join_count,large,200000,1.0,ok,0.025557971000012003,,[],True,large-joblib-pandas.json
joblib-pandas,standard,join_count,large,200000,2.0,ok,0.02597956600004636,,[],True,large-joblib-pandas.json
joblib-pandas,standard,value_counts,large,200000,0.0,ok,0.026436541999942165,,[],True,large-joblib-pandas.json
joblib-pandas,standard,value_counts,large,200000,1.0,ok,0.026281036999989738,,[],True,large-joblib-pandas.json
joblib-pandas,standard,value_counts,large,200000,2.0,ok,0.02634446999991269,,[],True,large-joblib-pandas.json
joblib-pandas,standard,complex,large,200000,,skipped,,source lacks coordinates,,,large-joblib-pandas.json
joblib-pandas,standard,mean_product,large,200000,0.0,ok,0.02509000499992453,,[],True,large-joblib-pandas.json
joblib-pandas,standard,mean_product,large,200000,1.0,ok,0.025983096999993904,,[],True,large-joblib-pandas.json
