dataset,mode,operation,backend,median_seconds,min_seconds,max_seconds,repeats
large,filtered,count,dask,0.032663963000004514,0.03194960899998023,0.03720759899999848,3
large,filtered,count,joblib-pandas,0.02721047299996826,0.026727800999992724,0.05322038400004203,3
large,filtered,count,pandas,0.009134123000080763,0.008997210999950767,0.009817841999961274,3
large,filtered,count_index,dask,0.030408438999984355,0.029714508999973077,0.030940299000008054,3
large,filtered,count_index,joblib-pandas,0.027209860999960256,0.02686326100001679,0.027241008000032707,3
large,filtered,count_index,pandas,0.009221461000038289,0.008965104000026258,0.010970646000032502,3
large,filtered,groupby,dask,0.05582725900001151,0.053221970999970836,0.06588885599990135,3
large,filtered,groupby,joblib-pandas,0.03414582299990343,0.031395877000022665,0.036297804000014366,3
large,filtered,groupby,pandas,0.01872565099995427,0.017788182999993296,0.02173858499998005,3
large,filtered,join,dask,0.05240620199992918,0.05223700599992753,0.053772387999970306,3
large,filtered,join,joblib-pandas,0.03262499100003424,0.027759396999954333,0.040412167999988924,3
large,filtered,join,pandas,0.014276568000013867,0.010741825000081917,0.016436538999982986,3
large,filtered,join_count,dask,0.0401543349998974,0.03772616900005232,0.04313665799998034,3
large,filtered,join_count,joblib-pandas,0.0275408500000367,0.02686019599991596,0.028354870999919513,3
large,filtered,join_count,pandas,0.010226089000070715,0.010044891000006828,0.01048574699996152,3
large,filtered,mean,dask,0.03255711600002087,0.031754965999994056,0.041152929000077165,3
large,filtered,mean,joblib-pandas,0.02693225699999857,0.026376893000019663,0.027350729000090723,3
large,filtered,mean,pandas,0.009728369999947972,0.008904424000093059,0.013327043000003869,3
large,filtered,mean_product,dask,0.031083270000067387,0.030960397999933775,0.0317484309999827,3
large,filtered,mean_product,joblib-pandas,0.02764335500000925,0.027233711999997468,0.029059444999916195,3
large,filtered,mean_product,pandas,0.01098064699999668,0.01018957999997383,0.01231920700001865,3
large,filtered,mean_sum,dask,0.03319240500002252,0.03170048099991618,0.03475282599993079,3
large,filtered,mean_sum,joblib-pandas,0.027165852000052837,0.027067752999982986,0.029054554000026656,3
large,filtered,mean_sum,pandas,0.010598598999990827,0.009391061999963313,0.01062810200005515,3
large,filtered,product_columns,dask,0.029677723999952832,0.027575339999998505,0.03131461600003149,3
large,filtered,product_columns,joblib-pandas,0.026539812999999413,0.026347109999960594,0.02813823600001797,3
large,filtered,product_columns,pandas,0.009673307999946701,0.00966450500004612,0.01149924200001351,3
large,filtered,std,dask,0.029500222000024223,0.028496939999968163,0.035434875000078137,3
large,filtered,std,joblib-pandas,0.027951817000030132,0.027809141000034288,0.028733743999964645,3
large,filtered,std,pandas,0.012248777999957383,0.009633420000000115,0.01638100200000281,3
